Date,Description,Credit,Debit,Balance
30/06/2017,Bonus Interest Credit - Receipt 911972,22.45,,18251.31
30/06/2017,Interest Credit,22.45,,18228.86
31/05/2017,Bonus Interest Credit - Receipt 911406,23.14,,18206.41
31/05/2017,Interest Credit,23.14,,18183.27
30/04/2017,Bonus Interest Credit - Receipt 909999,20.99,,18160.13
30/04/2017,Interest Credit,23.67,,18139.14
31/03/2017,Bonus Interest Credit - Receipt 908505,21.49,,18115.47
31/03/2017,Interest Credit,24.55,,18093.98
28/02/2017,Bonus Interest Credit - Receipt 912791,19.36,,18069.43
28/02/2017,Interest Credit,22.13,,18050.07
31/01/2017,Bonus Interest Credit - Receipt 904487,10.71,,18027.94
31/01/2017,Interest Credit,12.23,,18017.23
19/01/2017,"Internal Transfer - Receipt 300786 - From Orange Everyday  ",8000.00,,18005.00
16/01/2017,"Internal Transfer - Receipt 68181 - From Orange Everyday  ",5000.00,,10005.00
13/01/2017,"1 - Receipt 235378 - From Orange Everyday  ",5000.00,,5005.00
11/01/2017,"Initial Deposit - Receipt 696801 - From Orange Everyday  ",5.00,,5.00